#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.012852,3,1,0,442
0.011944,4,1,0,558
0.004278,5,1,0,670
0.012574,3,3,0,632
0.007240,3,1,0,379
0.005074,4,1,0,457
0.004148,3,1,0,438
0.003871,4,1,0,572
0.321719,5,1,0,693
0.457848,6,1,0,827
0.731455,7,1,0,939
0.632031,8,1,0,1044
0.004315,9,1,0,1182
0.006111,3,1,0,408
0.189628,4,1,0,477
0.353682,5,1,0,607
0.004870,5,1,0,740
0.005018,7,1,0,889
0.295052,7,1,0,976
0.574938,8,1,0,1112
1.144896,7,3,0,1163
0.883547,10,1,0,1428
1.007434,8,4,0,1464
1.488189,10,3,0,1666
1.334042,9,5,0,1628
0.009056,7,8,0,1538
0.013185,351,351,351,351
0.169109,378,378,378,378
0.381940,406,406,406,406
0.660493,435,435,435,435
1.054601,465,465,465,465
0.889529,0,0,0,0
1.189784,0,0,0,0
1.358079,0,0,0,0
1.909370,149,69,133,69
2.125460,0,0,0,0
1.803501,15,1,1154140656,0
2.337940,25,65520,65535,65520
3.022321,37,1210091136,1153073472,1209046960
3.127043,62,65535,65535,65535
0.005223,165,1210879808,1154012928,1209874736
0.006185,237,65535,65535,65535
0.004963,322,1211118208,1153571520,1209894576
0.007926,413,65535,65535,65535
0.004555,437,674496,1152601536,9267
0.005685,448,65535,65535,65535
0.006500,543,-271836470,1154541232,949571104
0.003630,558,1062394196,65535,1062333406
