#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
29.096505,0.033445,0.294404,0.012852,0.012852,29.450391
32.101773,0.050536,0.467329,0.011944,0.011944,32.639953
28.752491,0.070333,0.432255,0.004278,0.004278,29.265801
28.142720,0.103924,0.737178,0.012574,0.012574,29.005933
28.684066,0.070851,0.465366,0.007240,0.007240,29.235264
25.688354,0.042333,0.372274,0.005074,0.005074,26.111350
28.349551,0.044351,0.433311,0.004148,0.004148,28.834676
0.535106,0.118165,1.416894,0.003871,0.003871,2.080368
22.863994,0.520255,2.089127,0.321719,0.321719,379.783603
27.858871,0.314793,2.392569,0.457848,0.457848,425.377797
24.175018,0.291775,2.927841,0.731455,0.731455,204.060817
21.435990,0.478051,3.192765,0.632031,0.632031,228.913292
33.596536,0.054499,0.504903,0.004315,0.004315,34.165141
0.530699,0.155405,3.423226,0.006111,0.006111,4.121385
24.491127,0.404940,1.821852,0.189628,0.189628,233.945873
21.375824,0.279145,2.140683,0.353682,0.353682,329.797140
30.283643,0.064703,0.690030,0.004870,0.004870,31.056061
0.840695,0.119925,1.861889,0.005018,0.005018,2.834176
22.020429,0.262794,1.774353,0.295052,0.295052,246.894911
22.440165,0.362348,2.705307,0.574938,0.574938,440.047191
20.825885,0.282312,2.918915,1.144896,1.144896,481.171466
25.094787,0.359922,3.527761,0.883547,0.883547,295.579704
20.769960,0.263553,4.065367,1.007434,1.007434,220.638858
22.849939,0.336441,4.383253,1.488189,1.488189,252.418264
23.265638,0.292071,5.118042,1.334042,1.334042,707.879042
26.224739,0.055537,0.442181,0.009056,0.009056,26.737123
0.725697,0.173239,2.539475,0.013185,0.013185,3.470670
26.306812,0.434144,1.615965,0.169109,0.169109,330.761762
27.289562,0.405625,3.094414,0.381940,0.381940,262.028633
23.534785,0.292867,2.686770,0.660493,0.660493,340.333150
23.104863,0.286367,3.360837,1.054601,1.054601,471.996931
20.971569,0.297848,4.622566,0.889529,0.889529,555.045308
23.099066,0.324349,4.435418,1.189784,1.189784,235.175640
21.996263,0.346459,6.210031,1.358079,1.358079,291.538358
22.704367,0.243109,5.935978,1.909370,1.909370,473.854043
21.016365,0.242590,7.266872,2.125460,2.125460,448.524647
24.628551,0.238960,6.605046,1.803501,1.803501,193.631980
25.029288,0.302812,7.433834,2.337940,2.337940,218.890692
21.681414,0.273516,7.727812,3.022321,3.022321,510.962193
23.851799,0.424422,9.392110,3.127043,3.127043,710.735372
25.662134,0.514439,0.653123,0.005223,0.005223,26.840993
32.530454,0.050018,0.586346,0.006185,0.006185,33.181281
56.834953,0.015593,0.221961,0.004963,0.004963,57.080766
25.288286,0.055499,0.581698,0.007926,0.007926,25.940001
29.907295,0.049777,0.485014,0.004555,0.004555,30.450715
33.092745,0.060296,0.606309,0.005685,0.005685,33.770350
32.252754,0.053425,0.414311,0.006500,0.006500,32.733360
27.481875,0.123332,1.497670,0.003630,0.003630,29.111914
