#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,88.969705,5.425335,0.000000,31.976922,14.111822,0.045963,96.850219
0.000000,0.000000,85.318630,3.295467,0.000000,10.368470,11.817216,0.049369,137.464166
0.000000,0.000000,77.969814,2.986026,0.000000,10.756226,11.424978,0.043259,104.779732
0.000000,0.000000,86.814800,2.932730,0.000000,6.850765,8.020734,0.045092,113.262129
0.000000,0.000000,79.109766,3.206746,0.000000,21.878023,0.041277,0.055481,98.538405
0.000000,0.000000,80.124330,2.856786,0.000000,22.217890,0.045852,0.063795,106.899174
0.000000,0.000000,84.387546,3.025470,0.000000,19.885487,0.048592,0.065833,111.618238
0.000000,0.000000,86.312083,3.400355,0.000000,24.104075,1.263339,0.068814,111.681515
0.000000,0.000000,98.591738,3.638019,0.000000,28.702177,0.058629,0.078573,130.111202
0.000000,0.000000,78.580790,3.693112,0.000000,26.832806,0.784103,0.059296,117.230219
0.000000,0.000000,97.843690,3.599242,0.000000,25.410339,0.048629,0.072814,133.445558
0.000000,0.000000,115.678827,4.057515,0.000000,24.350961,0.050425,0.061667,147.548102
0.000000,0.000000,108.975153,5.206374,0.000000,25.057491,0.032926,0.069610,140.667319
0.000000,0.000000,80.989655,5.125134,0.000000,23.549802,5.569833,0.078111,113.704143
0.000000,0.000000,77.961333,3.764221,0.000000,21.227122,0.042981,0.094628,112.621839
0.000000,0.000000,94.312096,3.945905,0.000000,20.972976,0.039574,0.069536,100.139741
0.000000,0.000000,73.328176,3.898387,0.000000,22.365536,0.015277,0.067148,99.561952
0.000000,0.000000,78.165275,3.732240,0.000000,22.208686,0.016463,0.076037,83.646906
0.000000,0.000000,80.719936,4.357494,0.000000,23.729041,5.962256,0.072074,107.183227
0.000000,0.000000,79.438930,5.195059,0.000000,20.047967,0.053555,0.090128,91.199220
0.000000,0.000000,83.711239,3.695352,0.000000,20.008301,0.040481,0.074184,110.821542
0.000000,0.000000,77.463061,4.201903,0.000000,20.427908,0.040648,0.090036,83.607333
0.000000,0.000000,79.424282,3.812259,0.000000,21.769061,0.040851,0.067648,106.433902
0.000000,0.000000,77.282378,4.035423,0.000000,20.875310,0.043815,0.079128,83.078931
0.000000,0.000000,73.187826,3.975516,0.000000,21.584210,0.110240,0.070592,108.876673
0.000000,0.000000,89.004872,3.624371,0.000000,19.919005,0.044018,0.094499,115.148741
0.000000,0.000000,77.529079,3.495372,0.000000,19.823524,0.052110,0.076110,103.029009
0.000000,0.000000,74.191205,3.737722,0.000000,19.920987,0.038796,0.083073,100.325869
0.000000,0.000000,76.948880,4.119533,0.000000,24.735938,0.044833,0.831825,105.157840
0.000000,0.000000,71.787247,3.773481,0.000000,20.627294,0.048296,0.697160,98.681109
0.000000,0.000000,74.106187,3.808129,0.000000,22.099094,0.047333,0.896157,102.064593
0.000000,0.000000,73.510471,3.864202,0.000000,21.165178,0.050166,0.978009,99.501415
0.000000,0.000000,81.390837,3.419003,0.000000,21.993040,0.042481,0.850881,107.116543
0.000000,0.000000,73.567933,4.378160,0.000000,20.610368,0.047758,0.128610,99.898504
0.000000,0.000000,85.116651,3.727518,0.000000,26.079499,12.424876,0.117684,116.265766
0.000000,0.000000,76.678717,3.546316,0.000000,12.553282,19.027773,0.122017,103.020955
0.000000,0.000000,81.785444,3.989090,0.000000,13.298626,14.794093,0.120703,110.649415
0.000000,0.000000,77.139768,3.726574,0.000000,8.440564,9.858902,0.144092,104.208202
0.000000,0.000000,83.057986,3.908369,0.000000,12.879297,15.265422,0.089203,111.163780
0.000000,0.000000,74.117668,3.978757,0.000000,6.385084,8.004569,0.187850,99.957799
0.000000,0.000000,87.752310,3.894517,0.000000,22.061095,0.063518,0.138480,93.693695
0.000000,0.000000,73.029957,3.925016,0.000000,23.125029,0.043907,0.102722,118.351394
0.000000,0.000000,74.580793,3.619352,0.000000,21.674062,0.127832,0.108091,112.456934
0.000000,0.000000,78.241386,4.085070,0.000000,25.196693,0.046796,0.106036,113.048984
0.000000,0.000000,92.433394,4.158199,0.000000,21.114012,0.045703,0.108943,117.744308
0.000000,0.000000,108.222199,4.433678,0.000000,25.508338,0.065481,0.096721,144.000194
0.000000,0.000000,95.553510,3.924054,0.000000,22.364555,0.055999,0.132776,116.438580
