#frame timestamp_s tracking_time_s
0 1305031453.359683990 0.038460586
1 1305031453.391690016 0.042661101
2 1305031453.423682928 0.043686345
3 1305031453.459685087 0.044188768
4 1305031453.491698027 0.044201858
5 1305031453.523684025 0.045193627
6 1305031453.559752941 0.045473181
7 1305031453.591639996 0.046454206
8 1305031453.627706051 0.047493752
9 1305031453.659600019 0.047970042
10 1305031453.691678047 0.048044488
11 1305031453.727652073 0.048354760
12 1305031453.759694099 0.048833068
13 1305031453.791716099 0.049786635
14 1305031453.827773094 0.049858373
15 1305031453.859704971 0.049965873
16 1305031453.891710043 0.050326683
17 1305031453.927722931 0.050458662
18 1305031453.959640980 0.050504126
19 1305031453.991624117 0.050560810
20 1305031454.027662039 0.051140785
21 1305031454.059653997 0.051274896
22 1305031454.091650963 0.051306415
23 1305031454.127701044 0.051445078
24 1305031454.159672022 0.051653374
25 1305031454.191658020 0.052235238
26 1305031454.227670908 0.052576195
27 1305031454.259627104 0.052799456
28 1305031454.291639090 0.052960914
29 1305031454.327698946 0.053071931
30 1305031454.359636068 0.053136636
31 1305031454.391676903 0.053320706
32 1305031454.427464962 0.053559501
33 1305031454.459913015 0.053635370
34 1305031454.491616964 0.053663187
35 1305031454.527699947 0.053776555
36 1305031454.559575081 0.053910628
37 1305031454.591634989 0.054191642
38 1305031454.627579927 0.054249752
39 1305031454.659528017 0.054507341
40 1305031454.691884041 0.054545026
41 1305031454.727658987 0.054597676
42 1305031454.759732008 0.054788932
43 1305031454.791640997 0.055051837
44 1305031454.827569962 0.055111151
45 1305031454.859620094 0.055113133
46 1305031454.891763926 0.055176411
47 1305031454.927567005 0.055235427
48 1305031454.959647894 0.055325057
49 1305031454.991936922 0.055340350
50 1305031455.027798891 0.055364482
51 1305031455.059636116 0.055436704
52 1305031455.091700077 0.055461738
53 1305031455.127695084 0.055479128
54 1305031455.159719944 0.055519126
55 1305031455.191654921 0.055543292
56 1305031455.227581024 0.055614330
57 1305031455.259630919 0.055709884
58 1305031455.291831017 0.055928271
59 1305031455.327765942 0.056021623
60 1305031455.359630108 0.056069382
61 1305031455.391664982 0.056166418
62 1305031455.427642107 0.056190047
63 1305031455.459589005 0.056319397
64 1305031455.491636992 0.056380488
65 1305031455.527610064 0.056397934
66 1305031455.559669018 0.056443229
67 1305031455.591645002 0.056556527
68 1305031455.627616882 0.056807190
69 1305031455.659615040 0.056822058
70 1305031455.691605091 0.056841243
71 1305031455.727627993 0.056849096
72 1305031455.759682894 0.056989279
73 1305031455.791666031 0.057223145
74 1305031455.827589989 0.057373200
75 1305031455.859525919 0.057442293
76 1305031455.891657114 0.057520330
77 1305031455.927954912 0.057656273
78 1305031455.959716082 0.057705030
79 1305031455.991693974 0.057707142
80 1305031456.027770042 0.057773400
81 1305031456.059712887 0.057793122
82 1305031456.091706991 0.058157694
83 1305031456.127645016 0.058171581
84 1305031456.159730911 0.058224712
85 1305031456.191658020 0.058238655
86 1305031456.227678061 0.058284931
87 1305031456.291675091 0.058307134
88 1305031456.327718019 0.058315523
89 1305031456.391618967 0.058337245
90 1305031456.427661896 0.058337856
91 1305031456.491677046 0.058447540
92 1305031456.527641058 0.058521520
93 1305031456.591650963 0.058547243
94 1305031456.627612114 0.058552597
95 1305031456.691612005 0.058574613
96 1305031456.727693081 0.058628112
97 1305031456.791649103 0.058701336
98 1305031456.827603102 0.058810946
99 1305031456.891671896 0.058812093
100 1305031456.927690029 0.058814868
101 1305031456.959666967 0.058841757
102 1305031456.991708994 0.058917832
103 1305031457.027647972 0.058938351
104 1305031457.091655016 0.058976516
105 1305031457.127631903 0.058990963
106 1305031457.191735029 0.059045702
107 1305031457.227543116 0.059103053
108 1305031457.291656017 0.059253309
109 1305031457.327548027 0.059308715
110 1305031457.391684055 0.059396252
111 1305031457.427640915 0.059439734
112 1305031457.491704941 0.059465624
113 1305031457.527637959 0.059561271
114 1305031457.559684992 0.059592638
115 1305031457.591677904 0.059601139
116 1305031457.627526045 0.059625030
117 1305031457.659631968 0.059681252
118 1305031457.691570044 0.059691194
119 1305031457.727669001 0.059707120
120 1305031457.759556055 0.059755158
121 1305031457.791567087 0.059761766
122 1305031457.827698946 0.059769489
123 1305031457.859622955 0.059809305
124 1305031457.891592979 0.059815545
125 1305031457.927633047 0.059847008
126 1305031457.991643906 0.059863266
127 1305031458.027844906 0.059865709
128 1305031458.059689045 0.059911653
