frame,timestamp_s,yolo_ms,detections
0,1305031453.359684,696.8442689976655,5
1,1305031453.39169,705.5922750005266,4
2,1305031453.423683,550.2036489997408,4
3,1305031453.459685,546.6946609958541,6
4,1305031453.491698,564.1603080002824,5
5,1305031453.523684,582.4833820006461,6
6,1305031453.559753,545.0030580032035,5
7,1305031453.59164,618.0450090032537,5
8,1305031453.627706,722.3549350019312,4
9,1305031453.6596,712.8046789948712,4
10,1305031453.691678,571.8829460020061,4
11,1305031453.727652,563.4771000040928,3
12,1305031453.759694,545.1583370013395,3
13,1305031453.791716,591.2209399975836,3
14,1305031453.827773,511.38805400114506,3
15,1305031453.859705,765.525864000665,3
16,1305031453.89171,676.2759659977746,5
17,1305031453.927723,660.2118149967282,3
18,1305031453.959641,566.3074539988884,3
19,1305031453.991624,600.507615999959,6
20,1305031454.027662,541.1093840011745,6
21,1305031454.059654,521.1319899972295,5
22,1305031454.091651,564.6054220051155,9
23,1305031454.127701,656.0543669984327,6
24,1305031454.159672,712.6523089973489,4
25,1305031454.191658,556.8824420042802,4
26,1305031454.227671,548.8690429992857,3
27,1305031454.259627,519.0539910036023,6
28,1305031454.291639,550.3931140046916,4
29,1305031454.327699,544.8912150022807,5
30,1305031454.359636,555.934742995305,6
31,1305031454.391677,661.6387899994152,4
32,1305031454.427465,731.0624289966654,5
33,1305031454.459913,534.7510099963984,7
34,1305031454.491617,530.5344280059217,8
35,1305031454.5277,543.2782909992966,5
36,1305031454.559575,486.89662200195016,7
37,1305031454.591635,550.3782740051975,4
38,1305031454.62758,533.5904960011248,7
39,1305031454.659528,676.3165380034479,2
40,1305031454.691884,712.0664949979982,4
41,1305031454.727659,616.2749550057924,5
42,1305031454.759732,580.4992329940433,8
43,1305031454.791641,580.7434730013483,8
44,1305031454.82757,589.176605004468,6
45,1305031454.85962,574.1551269966294,11
46,1305031454.891764,657.320256003004,6
47,1305031454.927567,719.1643640035181,6
48,1305031454.959648,674.2760979977902,6
49,1305031454.991937,555.468837999797,8
50,1305031455.027799,551.12405300315,7
51,1305031455.059636,590.6423650012584,7
52,1305031455.0917,567.2352280016639,9
53,1305031455.127695,553.9627899997868,7
54,1305031455.15972,709.7103870037245,8
55,1305031455.191655,658.624467003392,5
56,1305031455.227581,615.8153159994981,6
57,1305031455.259631,527.1972170012305,4
58,1305031455.291831,528.5548829997424,8
59,1305031455.327766,495.19783400319284,8
60,1305031455.35963,517.2238309969543,7
61,1305031455.391665,511.5491769975051,3
62,1305031455.427642,617.3188370012213,5
63,1305031455.459589,705.7263359965873,4
64,1305031455.491637,667.5339650028036,5
65,1305031455.52761,554.2337379956734,7
66,1305031455.559669,523.0963780049933,4
67,1305031455.591645,519.6293530025287,9
68,1305031455.627617,523.3645219996106,5
69,1305031455.659615,512.4926390053588,5
70,1305031455.691605,586.5905309983646,7
71,1305031455.727628,619.271554001898,7
72,1305031455.759683,697.8252989938483,8
73,1305031455.791666,535.7865940022748,9
74,1305031455.82759,499.33617200440494,6
75,1305031455.859526,548.4153759971377,8
76,1305031455.891657,551.6523939950275,7
77,1305031455.927955,548.1625200045528,7
78,1305031455.959716,576.6890570012038,6
79,1305031455.991694,649.4417580033769,7
80,1305031456.02777,628.7067960001878,7
81,1305031456.059713,556.063402997097,5
82,1305031456.091707,551.6492489987286,7
83,1305031456.127645,554.3831009999849,7
84,1305031456.159731,560.7945099982317,4
85,1305031456.191658,544.187385996338,6
86,1305031456.227678,555.2888159945724,6
87,1305031456.291675,695.1532130042324,5
88,1305031456.327718,752.9487880019587,7
89,1305031456.391619,587.6552010013256,6
90,1305031456.427662,551.8731179981842,7
91,1305031456.491677,578.5726889953366,7
92,1305031456.527641,574.6391099964967,6
93,1305031456.591651,663.5137639968889,4
94,1305031456.627612,689.1038690009736,4
95,1305031456.691612,681.8388979954761,5
96,1305031456.727693,591.3780550035881,4
97,1305031456.791649,527.8249340044567,4
98,1305031456.827603,522.7515590013354,3
99,1305031456.891672,527.251872998022,5
100,1305031456.92769,509.4393789986498,2
101,1305031456.959667,589.5590040017851,1
102,1305031456.991709,679.0220229959232,2
103,1305031457.027648,658.0577100030496,4
104,1305031457.091655,628.6650379988714,1
105,1305031457.127632,569.0059600019595,2
106,1305031457.191735,673.4158780018333,2
107,1305031457.227543,756.5678140017553,5
108,1305031457.291656,731.8377199990209,3
109,1305031457.327548,764.7866820043419,4
110,1305031457.391684,723.119560003397,2
111,1305031457.427641,562.0669549971353,4
112,1305031457.491705,517.6214090024587,6
113,1305031457.527638,530.9190249972744,3
114,1305031457.559685,541.9061229986255,4
115,1305031457.591678,534.1045410023071,4
116,1305031457.627526,561.6249080048874,4
117,1305031457.659632,638.7648770032683,4
118,1305031457.69157,647.90548900055,4
119,1305031457.727669,600.7892370034824,3
120,1305031457.759556,536.6141790000256,3
121,1305031457.791567,543.9381989999674,2
122,1305031457.827699,500.79313600144815,1
123,1305031457.859623,542.9185459943255,3
124,1305031457.891593,559.4555169955129,3
125,1305031457.927633,640.4628910022439,3
126,1305031457.991644,682.7084870019462,2
127,1305031458.027845,641.9453509952291,3
128,1305031458.059689,582.228703002329,6
129,1305031458.09169,584.6094619992073,6
130,1305031458.127605,600.0449479979579,6
131,1305031458.159638,532.2399279975798,4
132,1305031458.191646,622.0537150002201,4
133,1305031458.227611,705.7040309955482,3
134,1305031458.259934,776.9563239999115,2
135,1305031458.291664,581.817387996125,2
136,1305031458.327628,635.2395599969896,2
137,1305031458.35959,590.2267569981632,1
138,1305031458.391626,646.659763995558,3
139,1305031458.427598,615.1607259962475,4
140,1305031458.459637,744.7219900059281,3
141,1305031458.491696,822.1863199942163,2
142,1305031458.527737,586.604703006742,3
143,1305031458.559628,590.5727019999176,3
144,1305031458.591641,573.0979529980686,3
145,1305031458.627659,551.7654560026131,5
146,1305031458.659623,582.9120440030238,2
147,1305031458.691674,750.6744679994881,3
148,1305031458.72765,759.8787460010499,4
149,1305031458.759945,653.1287510006223,5
150,1305031458.791632,670.7481070043286,2
151,1305031458.827564,551.0753670023405,5
152,1305031458.891665,595.1137550000567,4
153,1305031458.927621,563.9371829965967,5
154,1305031458.959617,737.4972339966916,5
155,1305031458.991647,729.7409859966137,4
156,1305031459.027665,670.9875890010153,2
157,1305031459.059631,585.4745869946782,3
158,1305031459.127618,589.5729389958433,2
159,1305031459.159639,571.0781140005565,4
160,1305031459.191674,574.568576994352,3
161,1305031459.227607,703.8319400016917,4
162,1305031459.25976,881.8083910009591,6
163,1305031459.327632,700.5796699959319,5
164,1305031459.359651,579.4479549949756,2
165,1305031459.391667,568.0631149953115,1
166,1305031459.427646,579.0452090004692,1
167,1305031459.459679,565.181518002646,1
168,1305031459.527594,595.0566539977444,0
169,1305031459.559647,688.3066289956332,2
170,1305031459.591695,899.0770319942385,3
171,1305031459.627608,571.3976190018002,8
172,1305031459.659641,574.7367479998502,6
173,1305031459.691604,572.07209700573,6
174,1305031459.727551,575.7132240032661,7
175,1305031459.79165,591.6362470015883,7
176,1305031459.827664,742.238847000408,6
177,1305031459.85966,733.1394690045272,7
178,1305031459.891596,751.2237310002092,5
179,1305031459.927607,662.3810149976634,6
180,1305031459.991725,700.9049859989318,8
181,1305031460.027565,646.628115006024,7
182,1305031460.059659,590.9155039989855,7
183,1305031460.091717,707.9742190035176,6
184,1305031460.12769,708.1272340001306,5
185,1305031460.159678,659.4879219992436,6
186,1305031460.191559,613.715350998973,5
187,1305031460.227761,600.3277150011854,5
188,1305031460.291689,589.5855810013018,5
189,1305031460.327512,562.268920999486,5
190,1305031460.391611,707.9849020010442,5
191,1305031460.427477,814.0234609963954,4
192,1305031460.45962,658.3534180026618,6
193,1305031460.491504,586.0587869974552,5
194,1305031460.52757,560.2574280055705,7
195,1305031460.559647,566.5938340025605,6
196,1305031460.591855,576.8354829997406,8
197,1305031460.627625,632.8486959973816,7
198,1305031460.659764,769.8771309951553,6
199,1305031460.691671,712.4118549982086,6
200,1305031460.727675,558.0464490049053,6
201,1305031460.759667,581.6738779976731,6
202,1305031460.79166,590.9017119993223,5
203,1305031460.82766,570.7335560000502,5
204,1305031460.859714,579.6322410024004,4
205,1305031460.891774,720.2979869980481,5
206,1305031460.927562,718.3036130008986,9
207,1305031460.991668,647.5927819992648,4
208,1305031461.02762,556.9639120003558,6
209,1305031461.091728,549.6588150053867,7
210,1305031461.127586,591.5953029980301,5
211,1305031461.15972,571.554832997208,4
212,1305031461.192013,603.4603549996973,6
213,1305031461.227607,764.4492479957989,5
214,1305031461.259642,792.8013410055428,5
215,1305031461.291656,567.4761920017772,5
216,1305031461.327751,550.1194110038341,6
217,1305031461.359709,583.1546720000915,7
218,1305031461.391708,582.7057069982402,6
219,1305031461.427624,604.1246520035202,6
